tempo_min,qc_total_kgm2,qr_total_kgm2,Nc_total_m2,Nr_total_m2
0.0000,2.289491e+00,3.127038e-04,1.526154e+11,3.822189e+07
2.0000,2.278595e+00,1.108065e-02,1.516977e+11,9.504110e+08
4.0000,2.253326e+00,3.571443e-02,1.507866e+11,1.834318e+09
6.0000,2.186834e+00,9.997967e-02,1.499067e+11,2.625087e+09
8.0000,2.000298e+00,2.784822e-01,1.491244e+11,3.136107e+09
10.0000,1.540023e+00,7.080923e-01,1.485776e+11,2.977828e+09
12.0000,8.933983e-01,1.254713e+00,1.483364e+11,2.096362e+09
14.0000,4.959085e-01,1.531966e+00,1.586049e+11,1.309653e+09
16.0000,3.240219e-01,1.503680e+00,1.690146e+11,8.873345e+08
18.0000,2.476641e-01,1.311850e+00,1.795419e+11,6.779396e+08
20.0000,2.475506e-01,1.070870e+00,2.009475e+11,5.651215e+08
22.0000,2.253607e-01,8.717025e-01,2.117976e+11,4.972627e+08
24.0000,1.981353e-01,6.870198e-01,2.227561e+11,4.533932e+08
26.0000,1.806405e-01,5.289613e-01,2.227401e+11,4.241307e+08
28.0000,1.702693e-01,4.350744e-01,2.338078e+11,4.046897e+08
30.0000,1.623900e-01,3.473807e-01,2.337943e+11,3.916586e+08
32.0000,1.567580e-01,2.953712e-01,2.449698e+11,3.835679e+08
34.0000,1.525135e-01,2.451570e-01,2.449575e+11,3.788505e+08
36.0000,1.492501e-01,2.047857e-01,2.449455e+11,3.766398e+08
38.0000,1.466771e-01,1.726436e-01,2.449339e+11,3.763728e+08
40.0000,1.446027e-01,1.467910e-01,2.449225e+11,3.776120e+08
42.0000,1.428960e-01,1.257787e-01,2.449112e+11,3.800259e+08
44.0000,1.415520e-01,1.123515e-01,2.561955e+11,3.835749e+08
46.0000,1.403318e-01,9.872924e-02,2.561846e+11,3.878436e+08
48.0000,1.392748e-01,8.660405e-02,2.561738e+11,3.925930e+08
50.0000,1.383459e-01,7.630885e-02,2.561631e+11,3.977641e+08
52.0000,1.375186e-01,6.759721e-02,2.561525e+11,4.032852e+08
54.0000,1.367726e-01,6.021064e-02,2.561421e+11,4.090906e+08
56.0000,1.360923e-01,5.392668e-02,2.561317e+11,4.151235e+08
58.0000,1.354657e-01,4.856117e-02,2.561214e+11,4.213365e+08
