tempo_min,qc_total_kgm2,qi_total_kgm2,qr_total_kgm2
0.0000,3.552149e+00,5.527198e-02,3.044873e-05
1.0000,2.862040e+00,8.281012e-01,1.100895e-03
2.0000,2.637004e+00,1.088754e+00,2.141809e-03
3.0000,2.499075e+00,1.245892e+00,3.293551e-03
4.0000,2.399623e+00,1.358466e+00,4.599240e-03
5.0000,2.322143e+00,1.444296e+00,6.208353e-03
6.0000,2.256937e+00,1.514040e+00,8.157149e-03
7.0000,2.200100e+00,1.571366e+00,1.067653e-02
8.0000,2.154884e+00,1.620744e+00,1.370730e-02
9.0000,2.109233e+00,1.665369e+00,1.754714e-02
10.0000,2.070585e+00,1.702180e+00,2.265693e-02
11.0000,2.029612e+00,1.737943e+00,2.909622e-02
12.0000,1.994833e+00,1.767673e+00,3.777207e-02
13.0000,1.954332e+00,1.795608e+00,4.924949e-02
14.0000,1.915113e+00,1.822739e+00,6.434320e-02
15.0000,1.872761e+00,1.844933e+00,8.492684e-02
16.0000,1.820899e+00,1.866666e+00,1.127043e-01
17.0000,1.760724e+00,1.888817e+00,1.499209e-01
18.0000,1.691353e+00,1.906846e+00,2.001694e-01
19.0000,1.602854e+00,1.923388e+00,2.664303e-01
20.0000,1.491778e+00,1.940194e+00,3.511815e-01
21.0000,1.359045e+00,1.957512e+00,4.540240e-01
22.0000,1.211159e+00,1.971741e+00,5.705718e-01
23.0000,1.051032e+00,1.984221e+00,6.893072e-01
24.0000,8.916213e-01,1.996508e+00,7.945409e-01
25.0000,7.458005e-01,2.009070e+00,8.916291e-01
26.0000,6.224470e-01,2.022003e+00,9.578377e-01
27.0000,5.282453e-01,2.032864e+00,9.732539e-01
28.0000,4.573812e-01,2.041755e+00,9.787438e-01
29.0000,4.009162e-01,2.050022e+00,9.495811e-01
