tempo_min,qc_total_kgm2,qi_total_kgm2,qs_total_kgm2,qg_total_kgm2,qr_total_kgm2
0.0000,3.551587e+00,5.531159e-02,0.000000e+00,3.606309e-03,1.735251e-02
1.0000,2.502508e+00,1.213820e+00,2.229883e-03,1.195253e-02,2.180739e-03
2.0000,2.117461e+00,1.645268e+00,8.162532e-03,1.790175e-02,2.692019e-03
3.0000,1.978487e+00,1.791567e+00,1.496777e-02,2.356492e-02,3.261998e-03
4.0000,1.892146e+00,1.884110e+00,2.252658e-02,2.768028e-02,3.790033e-03
5.0000,1.832438e+00,1.955341e+00,3.081591e-02,2.885444e-02,4.400397e-03
6.0000,1.814668e+00,1.964913e+00,3.908975e-02,2.895415e-02,5.926803e-03
7.0000,1.791463e+00,1.976851e+00,4.710806e-02,2.904535e-02,7.846520e-03
8.0000,1.764125e+00,1.993419e+00,5.487830e-02,2.918302e-02,1.026449e-02
9.0000,1.757495e+00,1.992806e+00,6.241303e-02,2.936812e-02,1.352500e-02
10.0000,1.748651e+00,1.989165e+00,6.979453e-02,2.960104e-02,1.793677e-02
11.0000,1.737118e+00,1.986536e+00,7.705102e-02,2.983014e-02,2.398651e-02
12.0000,1.722276e+00,1.984931e+00,8.419483e-02,2.998031e-02,3.234446e-02
13.0000,1.703087e+00,1.984330e+00,9.122683e-02,2.997264e-02,4.409862e-02
14.0000,1.678156e+00,1.984707e+00,9.813493e-02,2.974278e-02,6.067889e-02
15.0000,1.645533e+00,1.986023e+00,1.048937e-01,2.925055e-02,8.403059e-02
16.0000,1.602583e+00,1.988228e+00,1.114657e-01,2.848153e-02,1.167172e-01
17.0000,1.545944e+00,1.991261e+00,1.178037e-01,2.744388e-02,1.619237e-01
18.0000,1.471742e+00,1.995051e+00,1.238550e-01,2.616324e-02,2.231901e-01
19.0000,1.376287e+00,1.999516e+00,1.295663e-01,2.467745e-02,3.036209e-01
20.0000,1.257489e+00,2.004553e+00,1.349023e-01,2.303178e-02,4.043488e-01
21.0000,1.119019e+00,2.009704e+00,1.398252e-01,2.127453e-02,5.222996e-01
22.0000,9.714519e-01,2.010217e+00,1.443010e-01,1.946729e-02,6.484729e-01
23.0000,8.211142e-01,2.009041e+00,1.484114e-01,1.768473e-02,7.674841e-01
24.0000,6.822167e-01,2.007587e+00,1.522016e-01,1.596842e-02,8.602653e-01
25.0000,5.677770e-01,2.005995e+00,1.556932e-01,1.434355e-02,9.384512e-01
26.0000,4.790588e-01,2.004234e+00,1.589117e-01,1.282482e-02,9.640989e-01
27.0000,4.187660e-01,2.002261e+00,1.618853e-01,1.141922e-02,9.339585e-01
28.0000,3.737689e-01,2.000032e+00,1.646557e-01,1.012878e-02,8.991178e-01
29.0000,3.448626e-01,1.997529e+00,1.672475e-01,8.952215e-03,8.308475e-01
