tempo_min,flash_rate_total,flash_rate_cg,flash_rate_ic,qi_total_kgm2,qs_total_kgm2,qg_total_kgm2
0.0000,0.000000e+00,0.000000e+00,0.000000e+00,5.531159e-02,0.000000e+00,3.606309e-03
1.0000,3.010094e-03,3.010094e-04,2.709085e-03,1.213820e+00,2.229883e-03,1.195253e-02
2.0000,8.305447e-03,8.305447e-04,7.474903e-03,1.645268e+00,8.162532e-03,1.790175e-02
3.0000,1.354296e-02,1.354296e-03,1.218867e-02,1.791567e+00,1.496777e-02,2.356492e-02
4.0000,1.962164e-02,1.962164e-03,1.765948e-02,1.884110e+00,2.252658e-02,2.768028e-02
5.0000,2.639429e-02,2.639429e-03,2.375486e-02,1.955341e+00,3.081591e-02,2.885444e-02
6.0000,3.213613e-02,3.213613e-03,2.892251e-02,1.964913e+00,3.908975e-02,2.895415e-02
7.0000,3.682889e-02,3.682889e-03,3.314600e-02,1.976851e+00,4.710806e-02,2.904535e-02
8.0000,4.073313e-02,4.073313e-03,3.665981e-02,1.993419e+00,5.487830e-02,2.918302e-02
9.0000,4.392522e-02,4.392522e-03,3.953270e-02,1.992806e+00,6.241303e-02,2.936812e-02
10.0000,4.660642e-02,4.660642e-03,4.194577e-02,1.989165e+00,6.979453e-02,2.960104e-02
11.0000,4.878228e-02,4.878228e-03,4.390405e-02,1.986536e+00,7.705102e-02,2.983014e-02
12.0000,5.060750e-02,5.060750e-03,4.554675e-02,1.984931e+00,8.419483e-02,2.998031e-02
13.0000,5.212353e-02,5.212353e-03,4.691118e-02,1.984330e+00,9.122683e-02,2.997264e-02
14.0000,5.336321e-02,5.336321e-03,4.802689e-02,1.984707e+00,9.813493e-02,2.974278e-02
15.0000,5.433298e-02,5.433298e-03,4.889968e-02,1.986023e+00,1.048937e-01,2.925055e-02
16.0000,5.515451e-02,5.515451e-03,4.963906e-02,1.988228e+00,1.114657e-01,2.848153e-02
17.0000,5.574200e-02,5.574200e-03,5.016780e-02,1.991261e+00,1.178037e-01,2.744388e-02
18.0000,5.614108e-02,5.614108e-03,5.052697e-02,1.995051e+00,1.238550e-01,2.616324e-02
19.0000,5.637902e-02,5.637902e-03,5.074112e-02,1.999516e+00,1.295663e-01,2.467745e-02
20.0000,5.645832e-02,5.645832e-03,5.081249e-02,2.004553e+00,1.349023e-01,2.303178e-02
21.0000,5.637319e-02,5.637319e-03,5.073587e-02,2.009704e+00,1.398252e-01,2.127453e-02
22.0000,5.614245e-02,5.614245e-03,5.052821e-02,2.010217e+00,1.443010e-01,1.946729e-02
23.0000,5.582818e-02,5.582818e-03,5.024537e-02,2.009041e+00,1.484114e-01,1.768473e-02
24.0000,5.536747e-02,5.536747e-03,4.983072e-02,2.007587e+00,1.522016e-01,1.596842e-02
25.0000,5.482422e-02,5.482422e-03,4.934180e-02,2.005995e+00,1.556932e-01,1.434355e-02
26.0000,5.422228e-02,5.422228e-03,4.880006e-02,2.004234e+00,1.589117e-01,1.282482e-02
27.0000,5.354103e-02,5.354103e-03,4.818693e-02,2.002261e+00,1.618853e-01,1.141922e-02
28.0000,5.273760e-02,5.273760e-03,4.746384e-02,2.000032e+00,1.646557e-01,1.012878e-02
29.0000,5.190395e-02,5.190395e-03,4.671356e-02,1.997529e+00,1.672475e-01,8.952215e-03
