caso,corr_w_qg,corr_w_qcqi,corr_qg_qcqi
CTRL,0.5095306278969549,0.5697223227357319,0.954042304414603
SEM-NUC,0.509231156420893,0.6260540668318979,0.9600013603363675
SEM-DEP,0.5356107693000746,0.8588372189613374,0.566311629264656
SEM-CONG-NUV,0.1308556961940372,0.6250030099755919,0.6551315512656409
SEM-CONG-CHUVA,0.5410295129381194,0.6086591984026916,0.9615389640249155
SEM-RIMING,0.4759253277901516,0.8336430439788909,0.5294036049658305
SEM-HM,0.4791581096678879,0.8256941178732807,0.4995115361260045
SEM-GELO-NEVE,0.3781361157847979,0.636346925851954,0.9195212815872507
SEM_RIMING_HM,0.4759253277901516,0.8336430439788909,0.5294036049658305
SEM_CONG_CHUVA_RIMING,0.6018102928236885,0.8282155726756051,0.6839002784224986
