caso,w_max_mean,w_max_std,w_max_max,w_max_time_max_min,qcqi_max_mean,qcqi_max_std,qcqi_max_max,qcqi_max_time_max_min,qg_max_mean,qg_max_std,qg_max_max,qg_max_time_max_min
CTRL,14.662483388217968,9.059922629679924,31.012235193453034,15.0,5.680436094663561,5.156033107905344,19.447252939104228,10.0,0.12627024005312765,0.17860078661620155,0.6113139689415112,10.0
SEM-NUC,14.675099851186259,9.027356115461243,30.952257302921918,15.0,5.21923508737952,4.262657315688437,16.45992901165254,10.0,0.12651772640651746,0.18270799988595854,0.6233988966054776,10.0
SEM-DEP,13.976257337425158,8.59997470099929,28.662819457631567,15.0,3.9023072193412722,2.2889770777035974,8.322561576845924,10.0,1.0238774611451005,0.7957734290706423,2.7877714766686426,15.0
SEM-CONG-NUV,15.271403083085014,9.612267531921903,32.76560767204358,15.0,4.792856505061291,4.249905570832101,15.620155593266881,10.0,0.16739761257162097,0.18479769866302742,0.5327480929019762,10.0
SEM-CONG-CHUVA,14.580728264721017,9.09022191353007,30.98122087689615,15.0,5.18286698701285,4.4902409462001645,17.13473226837206,10.0,0.1924635692713882,0.26614353352241016,0.9060412080868898,10.0
SEM-RIMING,14.19235957026555,9.557474033322706,30.97612294902904,15.0,3.9557264654471647,2.352310123976188,8.175902033853532,10.0,0.7089368198801757,0.5485865473187892,1.8910738440112627,15.0
SEM-HM,14.1786960982015,9.522894108100877,30.86196936972211,15.0,3.809589226425727,2.278030772691465,8.107397798622074,10.0,0.89727993158991,0.68340896090408,2.3653679518690853,15.0
SEM-GELO-NEVE,15.303930468096208,9.194816721204763,30.92123311603962,15.0,7.268069938713982,3.7447087904863436,14.785187488655385,10.0,0.20376800433687992,0.17510823260632608,0.6382219468525103,10.0
SEM_RIMING_HM,14.19235957026555,9.557474033322706,30.97612294902904,15.0,3.9557264654471647,2.352310123976188,8.175902033853532,10.0,0.7089368198801757,0.5485865473187892,1.8910738440112627,15.0
SEM_CONG_CHUVA_RIMING,14.146350977734096,9.572055554714819,30.887296082156148,15.0,4.128529043089155,2.46465436377275,8.55297931934735,10.0,0.1848027326360796,0.15339239891644466,0.5395530770083736,15.0
