,w_max_mean,w_max_std,w_max_max,w_max_time_max,qg_max_mean,qg_max_std,qg_max_max,qg_max_time_max,qi_total_mean,qi_total_std,qi_total_max,qi_total_time_max,qs_total_mean,qs_total_std,qs_total_max,qs_total_time_max,qg_total_mean,qg_total_std,qg_total_max,qg_total_time_max,frac_qi_mean,frac_qi_std,frac_qi_max,frac_qi_time_max,frac_qs_mean,frac_qs_std,frac_qs_max,frac_qs_time_max,frac_qg_mean,frac_qg_std,frac_qg_max,frac_qg_time_max,f3_max_mean,f3_max_std,f3_max_max,f3_max_time_max,lpi_max_mean,lpi_max_std,lpi_max_max,lpi_max_time_max,t_min_mean,t_min_std,t_min_max,t_min_time_max
CTRL,12.84,12.97,51.76,15.0,0.14,0.2,0.73,20.0,33219.77,20438.07,60666.12,90.0,12746.35,9385.89,32519.56,25.0,628.98,335.5,1071.31,35.0,0.73,0.21,1.0,0.0,0.25,0.21,0.73,25.0,0.02,0.04,0.21,10.0,0.12,0.1,0.45,15.0,18.43,48.45,166.27,15.0,45.0,27.39,90.0,90.0
SEM-NUC,13.2,13.04,51.79,15.0,0.16,0.21,0.75,35.0,27724.07,16390.25,48253.26,90.0,12796.22,9393.69,32495.85,25.0,922.67,466.54,1368.05,45.0,0.59,0.28,0.95,15.0,0.27,0.22,0.75,25.0,0.03,0.05,0.26,10.0,0.12,0.1,0.45,15.0,21.15,64.0,278.02,15.0,45.0,27.39,90.0,90.0
SEM-DEP,13.11,11.84,49.23,15.0,0.73,0.58,2.13,15.0,24713.58,11499.07,36863.54,20.0,12879.47,8649.11,24403.79,90.0,6002.25,2809.0,8442.82,50.0,0.65,0.19,1.0,0.0,0.24,0.15,0.44,90.0,0.12,0.05,0.18,15.0,0.24,0.27,1.05,15.0,43.95,143.19,632.79,15.0,45.0,27.39,90.0,90.0
SEM-CONG-NUV,12.35,12.88,51.15,15.0,0.08,0.08,0.31,20.0,20332.77,10078.12,39186.05,20.0,9448.84,5705.71,16353.96,90.0,532.22,236.86,731.59,25.0,0.69,0.16,1.0,0.0,0.26,0.16,0.45,85.0,0.04,0.11,0.52,10.0,0.08,0.1,0.47,15.0,38.49,156.86,703.77,15.0,45.0,27.39,90.0,90.0
SEM-CONG-CHUVA,12.79,12.6,51.72,15.0,0.07,0.08,0.35,15.0,36534.77,23190.5,73414.05,90.0,12174.06,9372.55,32576.42,25.0,543.51,238.62,764.62,15.0,0.76,0.21,1.0,0.0,0.23,0.21,0.7,25.0,0.01,0.01,0.02,15.0,0.12,0.1,0.49,15.0,11.13,30.38,125.24,15.0,45.0,27.39,90.0,90.0
SEM-RIMING,11.59,12.76,49.34,15.0,0.81,0.53,2.01,40.0,19472.02,9507.02,37166.33,20.0,9057.59,5638.05,16184.63,90.0,2728.6,1534.99,5472.0,45.0,0.68,0.16,1.0,0.0,0.24,0.15,0.43,90.0,0.08,0.04,0.21,10.0,0.14,0.17,0.55,20.0,28.76,90.22,395.47,15.0,45.0,27.39,90.0,90.0
SEM-HM,12.4,12.98,49.35,15.0,0.91,0.6,2.27,15.0,19439.62,9188.59,34760.23,20.0,9009.44,5737.56,16435.35,90.0,4972.6,2319.03,7143.86,45.0,0.64,0.17,1.0,0.0,0.22,0.14,0.4,90.0,0.14,0.05,0.21,10.0,0.19,0.31,1.2,20.0,37.89,109.72,477.23,15.0,45.0,27.39,90.0,90.0
SEM-GELO-NEVE,14.15,12.14,51.8,15.0,0.58,0.32,0.92,35.0,47812.56,24858.91,87289.22,85.0,0.0,0.0,0.0,0.0,3748.22,2385.51,6785.29,60.0,0.93,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.21,10.0,0.13,0.11,0.47,15.0,29.19,107.75,484.28,15.0,45.0,27.39,90.0,90.0
SEM_RIMING_HM,11.59,12.76,49.34,15.0,0.81,0.53,2.01,40.0,19472.02,9507.02,37166.33,20.0,9057.59,5638.05,16184.63,90.0,2728.6,1534.99,5472.0,45.0,0.68,0.16,1.0,0.0,0.24,0.15,0.43,90.0,0.08,0.04,0.21,10.0,0.14,0.17,0.55,20.0,28.76,90.22,395.47,15.0,45.0,27.39,90.0,90.0
SEM_CONG_CHUVA_RIMING,11.51,12.85,49.35,15.0,0.17,0.21,0.94,15.0,20687.92,10082.18,38746.07,20.0,9911.17,6217.63,17625.43,90.0,830.8,382.66,1193.77,40.0,0.72,0.17,1.0,0.0,0.26,0.16,0.46,90.0,0.02,0.01,0.03,15.0,0.07,0.06,0.23,20.0,17.87,55.27,243.24,15.0,45.0,27.39,90.0,90.0
