,qg médio (g/kg),qg máx (g/kg),frac qg,F3 médio,F3 máx,LPI* médio,LPI* máx
CTRL,0.14,0.73,0.02,0.12,0.45,18.43,166.27
SEM-NUC,0.16,0.75,0.03,0.12,0.45,21.15,278.02
SEM-DEP,0.73,2.13,0.12,0.24,1.05,43.95,632.79
SEM-CONG-NUV,0.08,0.31,0.04,0.08,0.47,38.49,703.77
SEM-CONG-CHUVA,0.07,0.35,0.01,0.12,0.49,11.13,125.24
SEM-RIMING,0.81,2.01,0.08,0.14,0.55,28.76,395.47
SEM-HM,0.91,2.27,0.14,0.19,1.2,37.89,477.23
SEM-GELO-NEVE,0.58,0.92,0.07,0.13,0.47,29.19,484.28
SEM_RIMING_HM,0.81,2.01,0.08,0.14,0.55,28.76,395.47
SEM_CONG_CHUVA_RIMING,0.17,0.94,0.02,0.07,0.23,17.87,243.24
